date,region,cases
25/07/2020,LA,0.9691505307493499
01/08/2020,LA,0.34810407441476515
08/08/2020,LA,0.19290175656484065
15/08/2020,LA,
22/08/2020,LA,
29/08/2020,LA,
05/09/2020,LA,
12/09/2020,LA,0.0
19/09/2020,LA,0.0
26/09/2020,LA,0.0
03/10/2020,LA,0.0
04/01/2020,MA,0.0
11/01/2020,MA,0.0
18/01/2020,MA,0.0
25/01/2020,MA,0.0
01/02/2020,MA,0.0
08/02/2020,MA,0.0
15/02/2020,MA,0.0
22/02/2020,MA,7.93121482357549
29/02/2020,MA,5.402913504206476
07/03/2020,MA,4.908833438402392
14/03/2020,MA,5.655415951747734
21/03/2020,MA,4.705879906267756
28/03/2020,MA,2.526446527780321
04/04/2020,MA,1.6962956560558617
11/04/2020,MA,1.1951285217828909
18/04/2020,MA,0.461120155470622
25/04/2020,MA,0.5254111258273394
02/05/2020,MA,0.5295498310380402
09/05/2020,MA,0.45694914195594394
16/05/2020,MA,0.17293876732611876
23/05/2020,MA,0.36940181107436365
30/05/2020,MA,0.15205020411857556
06/06/2020,MA,0.4331716457726262
13/06/2020,MA,0.2308918699636821
20/06/2020,MA,0.3913460729683482
27/06/2020,MA,0.30871685834797225
04/07/2020,MA,0.30782557388507104
11/07/2020,MA,0.5777033483671151
18/07/2020,MA,0.6280900001165962
25/07/2020,MA,0.47736243032246817
01/08/2020,MA,0.31791382707214033
08/08/2020,MA,0.22803182070428832
15/08/2020,MA,
22/08/2020,MA,
29/08/2020,MA,
05/09/2020,MA,
12/09/2020,MA,0.0
19/09/2020,MA,0.0
26/09/2020,MA,0.0
03/10/2020,MA,0.0
04/01/2020,MD,0.0
11/01/2020,MD,0.0
18/01/2020,MD,0.0
25/01/2020,MD,0.0
01/02/2020,MD,0.0
08/02/2020,MD,0.0
15/02/2020,MD,0.0
22/02/2020,MD,6.748307870334105
29/02/2020,MD,4.961234458332763
07/03/2020,MD,4.915557728909021
14/03/2020,MD,4.85301184959652
21/03/2020,MD,4.578355988556207
28/03/2020,MD,2.4668857822671555
04/04/2020,MD,1.3289262109359892
11/04/2020,MD,0.9327689775905921
18/04/2020,MD,0.2684214936418031
25/04/2020,MD,0.2745241965620153
02/05/2020,MD,0.5175265312300348
09/05/2020,MD,0.6135303839287563
16/05/2020,MD,0.31073377019480475
23/05/2020,MD,0.45357900904554344
30/05/2020,MD,0.3560635057911871
06/06/2020,MD,0.47888635437944205
13/06/2020,MD,0.1379079677237895
20/06/2020,MD,0.016541033915617665
27/06/2020,MD,0.11834066508436622
04/07/2020,MD,0.26343086200319954
11/07/2020,MD,0.23814287068856058
18/07/2020,MD,0.45524247121255934
25/07/2020,MD,0.41906222420521416
01/08/2020,MD,0.3125000934292279
08/08/2020,MD,0.5704768694657074
15/08/2020,MD,
22/08/2020,MD,
29/08/2020,MD,
05/09/2020,MD,
12/09/2020,MD,0.0
19/09/2020,MD,0.0
26/09/2020,MD,0.0
03/10/2020,MD,0.0
04/01/2020,ME,0.0
11/01/2020,ME,0.0
18/01/2020,ME,0.0
25/01/2020,ME,0.0
01/02/2020,ME,0.0
08/02/2020,ME,0.0
15/02/2020,ME,0.0
22/02/2020,ME,8.309764769043822
29/02/2020,ME,5.344784377013328
07/03/2020,ME,4.828171877804019
14/03/2020,ME,5.45326179649305
21/03/2020,ME,4.492163218279009
28/03/2020,ME,2.169680266726748
04/04/2020,ME,1.5376699449890772
11/04/2020,ME,0.9431256935408033
18/04/2020,ME,0.25198703193348104
25/04/2020,ME,0.30423560517806203
02/05/2020,ME,0.24365457580725156
09/05/2020,ME,0.3147162191954823
16/05/2020,ME,0.019463938949078986
23/05/2020,ME,0.22854248604425165
30/05/2020,ME,0.016343993319900166
06/06/2020,ME,0.15640210101470559
13/06/2020,ME,0.21047477077228713
20/06/2020,ME,0.2673193954786592
27/06/2020,ME,0.24691137784287426
04/07/2020,ME,0.2345682397863266
11/07/2020,ME,0.888620201976398
18/07/2020,ME,1.0487352938466281
25/07/2020,ME,0.368946153701978
01/08/2020,ME,0.20330858886001432
08/08/2020,ME,0.2128700571148364
15/08/2020,ME,
22/08/2020,ME,
29/08/2020,ME,
05/09/2020,ME,
12/09/2020,ME,0.0
